"Advertiser Url","Ad Title","Ad Text",Keyword,Visibility,Location
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"Descent-Based Citizenship - New Citizenship Rules 2026","Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. Experienced citizenship...","canadian citizenship by descent grandparent",17.9,"Florida,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"Descent-Based Citizenship","Claim Your Canadian Rights — Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. Experienced...","apply for canadian citizenship by descent",11.6,"Massachusetts,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"Descent-Based Citizenship | New Citizenship Rules 2026","Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. New law means millions may qualify. Get a professional eligibility assessment today. Free Evaluation.","canadian citizenship by descent grandparent",6.1,"Florida,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"New Citizenship Rules 2026","Descent-Based Citizenship — Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. New law means millions may qualify. Get a professional eligibility...","america canada dual citizenship",4.7,"California,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"Descent-Based Citizenship | Free Eligibility Assessment","Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. Expert Canadian immigration lawyers help Americans...","apply for canadian citizenship by descent",3.7,"Florida,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"Descent-Based Citizenship - Free Eligibility Assessment","Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. Expert Canadian immigration lawyers help Americans claim citizenship.","apply for canadian citizenship by descent",2.9,"Florida,United States"
https://www.canadiancitizenshiphelp.ca/,"Start Your Application","Canada Citizenship — Fast & Friendly Support Available 24/7 For Canadian Citizens. We Help Canadians In The U.S. With All Of Your Citizenship Needs. Get Help Today. SSL Secured Site. BBB Accredited Business. Read Blogs.","apply for canadian citizenship by descent",2.8,"Massachusetts,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"Descent-Based Citizenship | Canada Citizenship by Descent","Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. New law means millions may qualify. Get a professional eligibility...","canadian citizenship by descent grandparent",2.6,"Florida,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"New Citizenship Rules 2026 - Descent-Based Citizenship","Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. New law means millions may qualify.","dual citizenship usa canada",2.3,"Massachusetts,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"Canada Citizenship by Descent - New Citizenship Rules 2026","Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. Experienced citizenship...","america canada dual citizenship",2.2,"California,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"Descent-Based Citizenship | Claim Your Canadian Rights","Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. Expert Canadian immigration lawyers help Americans claim citizenship. Free consultation. Free Evaluation.","apply for canadian citizenship by descent",2.2,"Florida,United States"
https://immigration.ca/canadian-citizenship-by-descent-for-americans/,"Canada Citizenship by Descent | New Citizenship Rules 2026","Bill C-3 expands citizenship by descent. Find out if you qualify for a Canadian passport. New law means millions may qualify.","canadian citizenship by descent grandparent",2.0,"Massachusetts,United States"
