"Advertiser Url","Keywords Count","Locations Count","Ads Count","Percent Ad Share",Visibility,"Avg Ad pos"
immigration.ca,"5 (83.3%)","3 (100.0%)",41,18.6%,92.5%,1
www.canadiancitizenshiphelp.ca,"4 (66.7%)","3 (100.0%)",34,15.5%,33.3%,3
www.canadavisa.com,"5 (83.3%)","2 (66.7%)",22,10.0%,18.8%,3
www.internationalexperience.ca,"4 (66.7%)","3 (100.0%)",16,7.3%,11.7%,2
www.escapehatch.to,"5 (83.3%)","3 (100.0%)",21,9.5%,11.3%,2
secure.exeolaw.com,"3 (50.0%)","3 (100.0%)",8,3.6%,11.3%,2
www.akcanada.com,"3 (50.0%)","2 (66.7%)",10,4.5%,9.9%,2
mdccanada.ca,"3 (50.0%)","2 (66.7%)",11,5.0%,8.5%,3
nomadcapitalist.com,"3 (50.0%)","2 (66.7%)",10,4.5%,5.2%,3
www.rmcs.bc.ca,"3 (50.0%)","3 (100.0%)",6,2.7%,4.2%,2
nilawyers.ca,"3 (50.0%)","3 (100.0%)",8,3.6%,3.8%,3
www.myheritage.com,"3 (50.0%)","2 (66.7%)",3,1.4%,3.3%,3
www.waytolegal.com,"3 (50.0%)","2 (66.7%)",2,0.9%,2.8%,2
cuin.ca,"1 (16.7%)","3 (100.0%)",5,2.3%,2.3%,2
settlement.org,"2 (33.3%)","2 (66.7%)",2,0.9%,1.9%,2
www.google.com,"2 (33.3%)","2 (66.7%)",5,2.3%,1.9%,1
lebeaulaw.ca,"2 (33.3%)","1 (33.3%)",2,0.9%,1.4%,1
www.askalawyeroncall.com,"2 (33.3%)","2 (66.7%)",2,0.9%,0.9%,5
www.justanswer.com,"2 (33.3%)","1 (33.3%)",2,0.9%,0.9%,4
www.uiscanada.com,"1 (16.7%)","1 (33.3%)",1,0.5%,0.9%,2
www.canadim.com,"1 (16.7%)","1 (33.3%)",1,0.5%,0.9%,3
online.canamigrate.com,"1 (16.7%)","2 (66.7%)",2,0.9%,0.9%,3
cis.org,"1 (16.7%)","2 (66.7%)",1,0.5%,0.9%,2
www.csmonitor.com,"1 (16.7%)","1 (33.3%)",1,0.5%,0.5%,2
www.boundless.com,"1 (16.7%)","1 (33.3%)",1,0.5%,0.5%,2
canadabychoice.com,"1 (16.7%)","1 (33.3%)",1,0.5%,0.5%,2
lp.vimb.org,"1 (16.7%)","1 (33.3%)",1,0.5%,0.5%,4
lp-eu.vimb.org,"2 (33.3%)","1 (33.3%)",1,0.5%,0.5%,2
